dataset,method,seed,C,tol,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
a9a,DCD_L1_perm,42,0.001,1.0,0.06708025932312012,8,12.358355539021414,0.847062035078141,0.7259069256137779,0.5702360391479563,0.6387231984523618,0.8988493388299048
a9a,DCD_L1_perm,142,0.001,1.0,0.0913553237915039,9,12.349148406697072,0.8483586978775677,0.7406609195402298,0.5788882650196518,0.649858178380082,0.9021851842683095
a9a,DCD_L1_perm,242,0.001,1.0,0.07475924491882324,6,12.291335046847086,0.8450146727632567,0.7241622574955908,0.5796160361377752,0.6438764309236318,0.8975686848906884
a9a,DCD_L1_perm,42,0.001,0.1,0.24133944511413574,20,12.356248093989654,0.8471985258991332,0.7272727272727273,0.568796776050662,0.6383459861088677,0.8988747019956768
a9a,DCD_L1_perm,142,0.001,0.1,0.2336714267730713,26,12.347980183146094,0.84849518869856,0.7408470926058865,0.5794497473329591,0.6502835538752363,0.9021008176399509
a9a,DCD_L1_perm,242,0.001,0.1,0.19590282440185547,22,12.282646461603639,0.8439909916058145,0.7255747126436781,0.5702992659514399,0.638634208030351,0.8974208008596178
a9a,DCD_L1_perm,42,0.001,0.01,0.7685654163360596,100,12.356115104826113,0.8471302804886371,0.7271723122238586,0.5685089234312032,0.6381260096930533,0.8988461459034522
a9a,DCD_L1_perm,142,0.001,0.01,0.5038609504699707,68,12.347933343016516,0.8483586978775677,0.7406609195402298,0.5788882650196518,0.649858178380082,0.9021146635882592
a9a,DCD_L1_perm,242,0.001,0.01,1.0676238536834717,124,12.282399280667981,0.8441274824268068,0.7260963335729691,0.5702992659514399,0.6388361796331435,0.8974304056987492
a9a,DCD_L1_perm,42,0.001,0.001,0.8926761150360107,130,12.356113569381654,0.847062035078141,0.7270718232044199,0.5682210708117443,0.637905962190984,0.8988481286077816
a9a,DCD_L1_perm,142,0.001,0.001,1.866621494293213,220,12.347901895548626,0.8484269432880639,0.7409270571325908,0.5788882650196518,0.6499605988967692,0.902124915158762
a9a,DCD_L1_perm,242,0.001,0.001,1.1716463565826416,172,12.28238910095263,0.8441274824268068,0.7260963335729691,0.5702992659514399,0.6388361796331435,0.8974407220074461
a9a,DCD_L1_perm,42,0.001,0.0001,3.9460439682006836,509,12.356109914680104,0.847062035078141,0.7270718232044199,0.5682210708117443,0.637905962190984,0.8988448841825153
a9a,DCD_L1_perm,142,0.001,0.0001,5.470325708389282,789,12.34789987978083,0.8484269432880639,0.7409270571325908,0.5788882650196518,0.6499605988967692,0.9021233964075763
a9a,DCD_L1_perm,242,0.001,0.0001,5.318653106689453,686,12.282386202079705,0.8440592370163107,0.7258354293927416,0.5702992659514399,0.6387351778656126,0.8974410269229738
cod_rna,DCD_L1_perm,42,0.001,1.0,0.10866308212280273,4,16.142439891811946,0.9528233003407431,0.8924050632911392,0.6904761904761905,0.7785605483625285,0.9852233387611087
cod_rna,DCD_L1_perm,142,0.001,1.0,0.11678910255432129,4,16.018058867761848,0.9554397209151387,0.8787942664418212,0.7199102054912796,0.7914570479354532,0.9843011980655915
cod_rna,DCD_L1_perm,242,0.001,1.0,0.12607240676879883,4,16.03876067784692,0.9540402401427877,0.8896463570515551,0.7049291019581364,0.7865888114522509,0.9847190605359606
cod_rna,DCD_L1_perm,42,0.001,0.1,0.2930409908294678,12,16.088606510008482,0.9559264968359565,0.887213385664119,0.7252617359000337,0.7981046176716529,0.985230084361183
cod_rna,DCD_L1_perm,142,0.001,0.1,0.2959611415863037,12,16.01657644019548,0.9553383092649683,0.8796276708271631,0.7180107062683474,0.7906446092413006,0.9843371329177957
