dataset,method,seed,C,tol,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
a9a,DCD_L1,42,1.0,1,9.95891809463501,5000.0,12023.8988975026,0.8478127345935986,0.7248734634851771,0.5771445020149684,0.6426282051282052,0.901142323512149
a9a,DCD_L1_shrink,42,1.0,1,3.7344741821289062,5000.0,12234.746926615882,0.8474715075411179,0.7185185185185186,0.5863557858376511,0.6457441749881122,0.8990116630908466
a9a,DCD_L1_perm,42,1.0,1,20.4026882648468,4248.0,11992.99331106017,0.8482904524670716,0.7220447284345048,0.5854922279792746,0.6466380543633763,0.9011034676571744
a9a,DCD_L1_perm_shrink,42,1.0,1,13.012813091278076,4727.0,11993.224391406322,0.8485634341090562,0.7208729320661739,0.5895221646516984,0.6486144101346002,0.90116959213403
a9a,DCD_L1_online,42,1.0,1,0.7683048248291016,5000.0,16985.910863413726,0.7983348119838941,0.6694970607446113,0.295048934945308,0.4095904095904096,0.8207932305633306
a9a,DCD_L2,42,1.0,1,14.093339204788208,5000.0,14989.835822225394,0.8416706476489456,0.7202290076335878,0.5431778929188256,0.6192976698391861,0.8959708383847232
a9a,DCD_L2_shrink,42,1.0,1,8.953671216964722,5000.0,15850.688907656491,0.8436497645533337,0.6982903117666779,0.5995970063327576,0.6451912652934799,0.8935599214189901
a9a,DCD_L2_perm,42,1.0,1,33.6243691444397,5000.0,14423.818342522767,0.8491776428035215,0.7237960339943342,0.588370754173863,0.6490949507780248,0.90224053571538
a9a,DCD_L2_perm_shrink,42,1.0,1,29.20977783203125,5000.0,14414.231912045105,0.8489729065720331,0.7231858407079647,0.5880829015544041,0.6486743927607557,0.9024505478778552
a9a,DCD_L2_online,42,1.0,1,0.8355517387390137,5000.0,62932.633472235095,0.69132600832594,0.4285324976154789,0.9052964881980426,0.5817072042911311,0.8682879085471706
a9a,LinearSVC_L1,42,1.0,1,6.800192594528198,5000.0,,0.8489729065720331,0.7231858407079647,0.5880829015544041,0.6486743927607557,0.9011459541785186
a9a,LinearSVC_L2,42,1.0,1,24.68231439590454,5000.0,,0.8495188698560022,0.7228661749209695,0.5924006908462867,0.6511627906976745,0.9027739346788016
a9a,SVC_linear,42,1.0,1,26.931813716888428,5000.0,,0.5540162424076981,0.2637023313262313,0.4916522740356937,0.3432820822027937,0.5422100113384938
a9a,DCD_L1,142,1.0,1,7.764009952545166,5000.0,12070.954433719604,0.8489046611615368,0.7182642487046632,0.6226838854576081,0.6670676691729324,0.9031397953260027
a9a,DCD_L1_shrink,142,1.0,1,4.650469541549683,5000.0,12255.76160147684,0.8476079983621101,0.7543053960964409,0.5533408197641775,0.6383805668016195,0.900819244764523
a9a,DCD_L1_perm,142,1.0,1,16.227927446365356,3373.0,11988.003687586315,0.8492458882140176,0.7297113752122241,0.6033127456485121,0.6605194406024282,0.903808020535136
a9a,DCD_L1_perm_shrink,142,1.0,1,12.655550003051758,3305.0,11986.431038209288,0.8487681703405446,0.7295361527967258,0.6005053340819764,0.658761934093009,0.9037080360820856
a9a,DCD_L1_online,142,1.0,1,0.4009702205657959,5000.0,17503.329596510193,0.7895311540298915,0.7204797047970479,0.2192588433464345,0.3362031855359449,0.8419380206753674
a9a,DCD_L2,142,1.0,1,22.28862428665161,5000.0,15437.971208983194,0.8398962669760459,0.6666666666666666,0.6827624929814711,0.674618585298197,0.8982643762076286
a9a,DCD_L2_shrink,142,1.0,1,22.853261470794678,5000.0,16052.952434578036,0.8386678495871153,0.6641095890410958,0.6805165637282425,0.6722129783693843,0.8975396281418722
a9a,DCD_L2_perm,142,1.0,1,83.67280197143555,5000.0,14410.344604271111,0.8495188698560022,0.7324426173347036,0.6002245929253228,0.659774726122512,0.9053268476582704
a9a,DCD_L2_perm_shrink,142,1.0,1,77.31040024757385,5000.0,14409.542501626622,0.849450624445506,0.7326698695950583,0.5993823694553622,0.6593576281655342,0.9053121410842904
a9a,DCD_L2_online,142,1.0,1,0.80265212059021,5000.0,30643.00968827972,0.8138947655770149,0.7180156657963447,0.3860190903986524,0.502099689611101,0.8485305651966725
a9a,LinearSVC_L1,142,1.0,1,12.794957160949707,3379.0,,0.849450624445506,0.7317156527682843,0.6010668163952836,0.6599876695437731,0.90382761242543
a9a,LinearSVC_L2,142,1.0,1,29.871357202529907,5000.0,,0.8492458882140176,0.7322348094747683,0.5988208871420551,0.6588416988416989,0.9054604977626012
a9a,SVC_linear,142,1.0,1,51.580323696136475,5000.0,,0.723469596669624,0.4419706300331596,0.523862998315553,0.4794450154162384,0.7226740338249177
a9a,DCD_L1,242,1.0,1,23.613205432891846,5000.0,11993.080456630518,0.8469937896676448,0.7113133940182055,0.6177300959909655,0.661226956784527,0.8986321032041489
a9a,DCD_L1_shrink,242,1.0,1,11.102333068847656,5000.0,12261.239558713323,0.8459701085102027,0.7050750079795723,0.6236589497459063,0.66187265917603,0.8972322614248164
a9a,DCD_L1_perm,242,1.0,1,41.18278431892395,3203.0,11912.567588417262,0.8461748447416911,0.7196452933151433,0.5957086391869001,0.6518381217176398,0.8990105541936279
a9a,DCD_L1_perm_shrink,242,1.0,1,28.941415786743164,3301.0,11910.247895439965,0.846106599331195,0.7198496754355996,0.5948616600790514,0.6514144380893492,0.8992460506197384
a9a,DCD_L1_online,242,1.0,1,0.7385072708129883,5000.0,19828.54648464097,0.7554766941923156,0.4963787316728493,0.7933370976849238,0.6106704335542757,0.8484424991059624
a9a,DCD_L2,242,1.0,1,23.16980290412903,5000.0,14778.310181373716,0.8435132737323415,0.724398131512756,0.5691699604743083,0.6374703557312253,0.8957190164787023
a9a,DCD_L2_shrink,242,1.0,1,7.894665718078613,5000.0,16318.047093641631,0.830956118201051,0.6481223922114048,0.6578204404291361,0.6529354070337677,0.8889800783947985
a9a,DCD_L2_perm,242,1.0,1,76.35533308982849,5000.0,14356.819574399477,0.8479492254145908,0.7300420168067226,0.5886504799548278,0.6517661769302907,0.9012026173339092
a9a,DCD_L2_perm_shrink,242,1.0,1,32.82654666900635,5000.0,14354.081869625796,0.8482222070565755,0.7292971468336813,0.5917560700169395,0.6533665835411472,0.9012440858457144
a9a,DCD_L2_online,242,1.0,1,0.21622109413146973,5000.0,50175.48438011157,0.7841397666006961,0.7523302263648469,0.1595143986448334,0.2632191940368041,0.8381833366611474
a9a,LinearSVC_L1,242,1.0,1,5.236032247543335,3408.0,,0.8461748447416911,0.7223756906077348,0.590626764539808,0.6498912705809258,0.8992223942566924
a9a,LinearSVC_L2,242,1.0,1,20.396321296691895,5000.0,,0.8480857162355832,0.7292682926829268,0.5909090909090909,0.6528384279475983,0.901320645052865
a9a,SVC_linear,242,1.0,1,26.993150234222412,5000.0,,0.6256739234286495,0.3033002632111763,0.4229249011857707,0.35326022874661,0.5775884495152123
cod_rna,DCD_L1,42,1.0,1,11.945808410644531,3220.0,11865.426233887918,0.960145221483044,0.8715492957746479,0.7836879432624113,0.8252867431315017,0.9849954285617132
cod_rna,DCD_L1_shrink,42,1.0,1,6.744531869888306,4753.0,11682.95404769114,0.9622140191465196,0.8496124031007752,0.8328267477203647,0.8411358403683806,0.9850916808402116
cod_rna,DCD_L1_perm,42,1.0,1,11.347724199295044,533.0,11695.705254814928,0.9613824436151224,0.8632911392405064,0.806146572104019,0.8337408312958435,0.9850952424236324
cod_rna,DCD_L1_perm_shrink,42,1.0,1,6.500826120376587,555.0,11671.402980723276,0.9617475255557358,0.853415061295972,0.8228638973319824,0.8378610729023384,0.9850959080310258
cod_rna,DCD_L1_online,42,1.0,1,0.46017980575561523,5000.0,15076.999738493188,0.9377129644653578,0.9116373086918856,0.533096926713948,0.6727757059136921,0.9845945538586224
