method,0.5,0.6,0.7,0.8,0.9,0.95,0.99
DCD_L1_perm,0.904,0.9098,0.9053,0.8653,0.8031,0.7155,0.5654
DCD_L2_perm,0.9225,0.9268,0.9237,0.8893,0.8297,0.7407,0.5729
LinearSVC_L1,0.9045,0.9098,0.9048,0.8649,0.8039,0.7155,0.5651
LinearSVC_L2,0.9239,0.9274,0.9245,0.8903,0.83,0.7408,0.5721
SVC_linear,,,,,,,0.5492
