dataset,0.0001,0.001,0.01,0.1,1.0
a9a,0.8995,0.8995,0.8995,0.8995,0.8995
cod_rna,0.9848,0.9848,0.9848,0.9848,0.9847
news20,,,,,0.9948
rcv1,0.9838,0.9838,0.9838,0.9838,0.9838
real-sim,0.9895,0.9895,0.9895,0.9895,0.9895
skin,0.9435,0.9435,0.9435,0.9435,0.9435
MEAN,0.9602,0.9602,0.9602,0.9602,0.966
