dataset,0.001,0.01,0.1,1.0,10.0,100.0
a9a,0.8489,0.8491,0.8489,0.8486,0.8411,0.78
cod_rna,0.9587,0.9602,0.96,0.9594,0.9494,0.9341
news20,0.9691,0.969,0.969,0.9689,0.9689,0.9689
rcv1,0.9538,0.9484,0.9313,0.9135,0.9106,0.91
real-sim,0.9616,0.9533,0.9466,0.9445,0.9441,0.944
skin,0.9073,0.9073,0.91,0.9062,0.9074,0.8821
