dataset,0.0001,0.001,0.01,0.1,1.0
a9a,661.3,174.0,97.3,22.7,7.7
cod_rna,1061.3,295.3,61.7,12.0,4.0
news20,,,,,2867.7
rcv1,3674.3,739.7,206.7,52.0,50.0
real-sim,1487.3,777.3,437.0,149.3,80.0
skin,202.0,59.0,13.7,5.0,3.0
MEAN,1417.2,409.1,163.3,48.2,502.1
