dataset,0.0001,0.001,0.01,0.1,1.0
a9a,0.0022,0.0022,0.0022,0.0023,0.0017
cod_rna,0.0003,0.0003,0.0004,0.0005,0.0013
news20,,,,,0.001
rcv1,0.0031,0.0031,0.0032,0.0031,0.003
real-sim,0.0015,0.0015,0.0015,0.0014,0.0015
skin,0.0004,0.0004,0.0004,0.0004,0.0005
MEAN,0.0015,0.0015,0.0015,0.0015,0.0015
