method,0.001,0.01,0.1,1.0,10.0,100.0,std_0.001,std_0.01,std_0.1,std_1.0,std_10.0,std_100.0
DCD_L1_perm,0.9659,0.9654,0.9634,0.9609,0.9606,0.9514,0.0351,0.0341,0.0331,0.0327,0.0334,0.0511
DCD_L1_perm_shrink,0.966,0.9654,0.9634,0.9605,0.9602,0.9441,0.0351,0.0341,0.033,0.0328,0.0334,0.0691
DCD_L2_perm,0.944,0.9439,0.944,0.9439,0.9413,0.9207,0.045,0.0448,0.0448,0.0448,0.0474,0.0683
DCD_L2_perm_shrink,0.9654,0.9644,0.9627,0.9598,0.9583,0.9495,0.0355,0.0347,0.0336,0.0334,0.0353,0.05
LinearSVC_L1,0.966,0.9654,0.9634,0.9605,0.9603,0.9501,0.0351,0.0341,0.0331,0.0327,0.0332,0.0544
LinearSVC_L2,0.9654,0.9644,0.9625,0.9601,0.9587,0.9499,0.0355,0.0347,0.0337,0.0331,0.0348,0.05
SVC_linear,0.9364,0.9159,0.8763,0.8937,0.8259,0.7999,0.103,0.1518,0.1875,0.1437,0.2418,0.2714
