dataset,0.0001,0.001,0.01,0.1,1.0
a9a,0.8465,0.8465,0.8465,0.8466,0.8468
cod_rna,0.9553,0.9553,0.9553,0.9554,0.9541
news20,,,,,0.969
rcv1,0.9524,0.9524,0.9525,0.9525,0.9525
real-sim,0.9601,0.9601,0.9601,0.9601,0.9602
skin,0.9333,0.9333,0.9333,0.9332,0.9333
MEAN,0.9295,0.9295,0.9295,0.9296,0.936
