method,0.5,0.6,0.7,0.8,0.9,0.95,0.99,std_0.5,std_0.6,std_0.7,std_0.8,std_0.9,std_0.95,std_0.99
DCD_L1_perm,0.9031,0.9091,0.9049,0.865,0.803,0.716,0.5679,0.0016,0.0025,0.0018,0.0027,0.0022,0.0037,0.0031
DCD_L1_perm_shrink,0.904,0.9092,0.9053,0.8653,0.8036,0.7142,0.5665,0.0018,0.0024,0.0025,0.0053,0.0023,0.0029,0.002
DCD_L2_perm,0.9217,0.9263,0.9233,0.8892,0.83,0.7408,0.5748,0.0009,0.0012,0.0027,0.0022,0.0012,0.0031,0.0028
DCD_L2_perm_shrink,0.9222,0.9258,0.9241,0.8894,0.8296,0.7417,0.5744,0.0013,0.0013,0.0023,0.0021,0.0012,0.0014,0.0031
LinearSVC_L1,0.9035,0.9091,0.9044,0.8646,0.8039,0.7158,0.5672,0.0023,0.0021,0.0022,0.0036,0.0019,0.0026,0.0026
LinearSVC_L2,0.923,0.9268,0.9243,0.8902,0.8301,0.7409,0.5748,0.0013,0.0013,0.002,0.0015,0.0009,0.0018,0.0016
SVC_linear,,,,,,,0.5475,,,,,,,0.0045
