method,0.5,0.6,0.7,0.8,0.9,0.95,0.99,std_0.5,std_0.6,std_0.7,std_0.8,std_0.9,std_0.95,std_0.99
DCD_L1_perm,0.904,0.9098,0.9053,0.8653,0.8031,0.7155,0.5654,0.0018,0.0021,0.002,0.0026,0.0013,0.0029,0.001
DCD_L1_perm_shrink,0.9049,0.9099,0.9056,0.8656,0.8036,0.7139,0.5642,0.0019,0.0015,0.0027,0.0053,0.0015,0.0014,0.0005
DCD_L2_perm,0.9225,0.9268,0.9237,0.8893,0.8297,0.7407,0.5729,0.0007,0.0006,0.0028,0.0023,0.0001,0.0016,0.0015
DCD_L2_perm_shrink,0.9231,0.9264,0.9244,0.8894,0.8295,0.7413,0.5722,0.0012,0.001,0.0024,0.0023,0.0003,0.0002,0.0009
LinearSVC_L1,0.9045,0.9098,0.9048,0.8649,0.8039,0.7155,0.5651,0.0024,0.0011,0.0023,0.0034,0.001,0.0008,0.0014
LinearSVC_L2,0.9239,0.9274,0.9245,0.8903,0.83,0.7408,0.5721,0.0012,0.0004,0.0021,0.0018,0.0003,0.0012,0.0019
SVC_linear,,,,,,,0.5492,,,,,,,0.001
