method,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,std_0.1,std_0.2,std_0.3,std_0.4,std_0.5,std_0.6,std_0.7,std_0.8,std_0.9
DCD_L1_perm,1.13,2.37,2.01,3.09,4.99,6.94,7.6,7.97,10.38,1.38,1.64,0.31,0.28,0.6,0.45,2.17,1.04,1.02
DCD_L1_perm_shrink,0.5,1.2,1.52,2.05,2.63,3.65,3.85,4.86,5.49,0.07,0.2,0.08,0.21,0.19,0.22,0.29,0.07,0.42
DCD_L2_perm,6.15,8.46,15.39,29.95,41.41,44.06,53.12,54.35,55.56,3.06,1.72,0.68,0.97,3.27,2.51,7.01,13.38,14.59
DCD_L2_perm_shrink,1.72,3.35,5.36,10.19,13.43,16.4,18.95,22.12,25.35,0.1,0.76,0.23,0.25,0.27,0.17,0.43,0.68,0.23
LinearSVC_L1,0.46,1.56,2.47,3.71,5.83,7.25,8.53,9.51,13.43,0.02,0.42,0.15,0.3,0.21,0.5,0.96,0.15,1.12
LinearSVC_L2,1.2,3.62,6.43,14.1,20.26,28.4,31.43,34.19,47.51,0.08,1.79,1.28,0.97,0.53,1.15,3.58,2.08,1.18
SVC_linear,174.88,353.87,,,,,,,,1.53,,,,,,,,
