dataset,0.0001,0.001,0.01,0.1,1.0
a9a,0.84,0.502,0.282,0.024,0.012
cod_rna,50.535,1.119,0.042,0.009,0.009
news20,,,,,14.671
rcv1,14.145,0.736,4.44,0.412,0.731
real-sim,13.032,6.775,5.053,0.63,1.156
skin,3.927,0.154,0.042,0.008,0.002
MEAN,16.496,1.857,1.972,0.217,2.764
