method,0.001,0.01,0.1,1.0,10.0,100.0,std_0.001,std_0.01,std_0.1,std_1.0,std_10.0,std_100.0
DCD_L1_perm,28.985,50.353,67.176,77.213,97.268,105.957,66.128,109.58,110.427,106.879,98.777,83.83
DCD_L1_perm_shrink,15.944,29.432,34.953,39.793,49.972,66.013,36.154,65.402,65.932,63.711,62.444,57.259
DCD_L2_perm,0.109,0.397,3.306,27.993,73.727,76.106,0.015,0.119,0.867,4.115,45.311,46.26
DCD_L2_perm_shrink,28.654,30.111,38.198,55.958,65.064,70.153,65.225,65.648,63.555,64.61,59.829,59.582
LinearSVC_L1,15.808,29.571,36.42,36.949,45.088,57.661,36.182,66.059,72.128,61.559,59.782,54.005
LinearSVC_L2,28.861,30.532,36.545,52.161,63.087,64.896,65.836,66.642,62.716,62.175,60.295,55.78
SVC_linear,113.13,129.923,124.235,110.804,88.21,71.7,110.492,130.359,130.004,124.567,117.811,117.017
