method,0.5,0.6,0.7,0.8,0.9,0.95,0.99,std_0.5,std_0.6,std_0.7,std_0.8,std_0.9,std_0.95,std_0.99
DCD_L1_perm,0.9726,0.9748,0.9732,0.949,0.9004,0.8129,0.6062,0.0007,0.0012,0.0014,0.0024,0.0004,0.0009,0.0021
DCD_L1_perm_shrink,0.9727,0.9748,0.9734,0.9493,0.9006,0.8127,0.6062,0.0006,0.0013,0.0014,0.0027,0.0007,0.0004,0.0019
DCD_L2_perm,0.982,0.9835,0.9822,0.9654,0.9263,0.8483,0.6253,0.0004,0.0009,0.0007,0.0015,0.0003,0.0025,0.0023
DCD_L2_perm_shrink,0.982,0.9835,0.9824,0.9656,0.9265,0.8482,0.6251,0.0004,0.0009,0.0009,0.0016,0.0002,0.0022,0.0014
LinearSVC_L1,0.9727,0.9748,0.9731,0.949,0.9004,0.8132,0.6065,0.0008,0.0011,0.0014,0.0025,0.0007,0.0009,0.0022
LinearSVC_L2,0.9819,0.9837,0.9824,0.9657,0.9267,0.848,0.6243,0.0004,0.0009,0.0009,0.0014,0.0003,0.0023,0.0025
SVC_linear,,,,,,,0.5765,,,,,,,0.0004
