dataset,0.001,0.01,0.1,1.0,10.0,100.0
a9a,0.8467,0.848,0.848,0.8482,0.8466,0.7595
cod_rna,0.9542,0.9608,0.9613,0.9616,0.9612,0.9484
news20,0.969,0.9689,0.9688,0.9689,0.9687,0.9686
rcv1,0.9526,0.9486,0.9295,0.9117,0.9118,0.9117
real-sim,0.9601,0.9522,0.9459,0.9437,0.9445,0.9444
skin,0.9331,0.9326,0.933,0.9335,0.9315,0.9327
