method,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
DCD_L1_perm,1.13,2.37,2.01,3.09,4.99,6.94,7.6,7.97,10.38
DCD_L2_perm,6.15,8.46,15.39,29.95,41.41,44.06,53.12,54.35,55.56
LinearSVC_L1,0.46,1.56,2.47,3.71,5.83,7.25,8.53,9.51,13.43
LinearSVC_L2,1.2,3.62,6.43,14.1,20.26,28.4,31.43,34.19,47.51
SVC_linear,174.88,353.87,,,,,,,
