dataset,0.0001,0.001,0.01,0.1,1.0
a9a,0.0024,0.0024,0.0024,0.0024,0.0024
cod_rna,0.0004,0.0004,0.0004,0.0004,0.0005
news20,,,,,0.0004
rcv1,0.0017,0.0017,0.0017,0.0017,0.0017
real-sim,0.0003,0.0003,0.0003,0.0003,0.0003
skin,0.0001,0.0001,0.0001,0.0001,0.0002
MEAN,0.001,0.001,0.001,0.001,0.0009
