method,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,std_0.1,std_0.2,std_0.3,std_0.4,std_0.5,std_0.6,std_0.7,std_0.8,std_0.9
DCD_L1_perm,0.7848,0.7846,0.7849,0.785,0.7845,0.7846,0.7848,0.7849,0.7848,0.0012,0.0003,0.0001,0.0003,0.0007,0.0003,0.0006,0.0006,0.0002
DCD_L1_perm_shrink,0.7841,0.7847,0.7848,0.785,0.7846,0.7848,0.7848,0.7848,0.7848,0.0004,0.0005,0.0001,0.0005,0.0004,0.0003,0.0004,0.0003,0.0001
DCD_L2_perm,0.7855,0.7849,0.7848,0.7848,0.7843,0.7844,0.7844,0.7844,0.7843,0.0003,0.0007,0.0001,0.0001,0.0004,0.0003,0.0005,0.0002,0.0001
DCD_L2_perm_shrink,0.7855,0.7849,0.7848,0.7848,0.7843,0.7844,0.7844,0.7844,0.7843,0.0003,0.0006,0.0001,0.0001,0.0004,0.0003,0.0005,0.0002,0.0001
LinearSVC_L1,0.7843,0.7845,0.785,0.785,0.7846,0.7845,0.7849,0.7848,0.7847,0.0007,0.0005,0.0001,0.0003,0.0005,0.0001,0.0005,0.0002,0.0001
LinearSVC_L2,0.7855,0.7849,0.7848,0.7848,0.7843,0.7844,0.7844,0.7844,0.7843,0.0003,0.0006,0.0001,0.0001,0.0004,0.0003,0.0005,0.0002,0.0001
SVC_linear,0.4645,0.4582,,,,,,,,0.0059,,,,,,,,
