method,0.001,0.01,0.1,1.0,10.0,100.0,std_0.001,std_0.01,std_0.1,std_1.0,std_10.0,std_100.0
DCD_L1_perm,499.8,995.1,2041.1,3184.7,4299.6,5000.0,1095.1,1856.3,2097.2,2167.5,1611.6,0.0
DCD_L1_perm_shrink,491.7,999.3,2058.6,3265.3,4313.1,5000.0,1066.5,1854.8,2098.1,2201.8,1580.6,0.0
DCD_L2_perm,6.8,39.7,357.7,3033.8,5000.0,5000.0,3.1,30.1,275.7,2153.9,0.0,0.0
DCD_L2_perm_shrink,850.7,1048.9,2423.6,4077.7,4783.6,5000.0,1876.1,1838.1,2146.1,1787.6,918.3,0.0
LinearSVC_L1,495.4,999.7,2060.1,3258.6,4312.6,5000.0,1075.7,1854.7,2092.5,2198.9,1581.6,0.0
LinearSVC_L2,859.1,1045.7,2413.6,4075.9,4780.1,5000.0,1893.4,1839.0,2155.3,1790.9,933.1,0.0
SVC_linear,4786.7,4781.6,4801.6,4837.8,4837.8,4837.8,496.0,511.3,459.9,385.9,385.9,385.9
